Hobby,Rank
'Glass blowing',
 'Vintage art',
 'Parachuting',
 'Stamp collecting',
 'Acrobatics',
 'Yo-yoing',
 'Cars',
 'Book restoration',
 'Foraging',
 'Body building',
 'Football',
 'Hockey',
 'Woodworking',
 'Travelling',
 'Basketball',
 'Insect collecting',
 'Gymnastics',
 'Formula 1',
 'Fossil hunting',
 'Coin collecting',
 'Extreme sports',
 'Graffiti',
 'Lotology',
 'Polo',
 'Roller blading',
 'Book collecting',
 'Cabaret',
 'Seashell collecting',
 'Scuba diving',
 'Bridge',
 'Comic books',
 'Yoga',
 'Anime',
 'Running',
 'Judo',
 'Painting',
 'Kart racing',
 'Metal detecting',
 'Juggling',
 'Bird watching',
 'Hiking',
 'Dowsing',
 'Dinosaurs',
 'Crosswords',
 'Logic puzzles',
 'Gold prospecting',
 'Gambling',
 'Tabletop gaming',
 'Ballroom dancing',
 'Powerlifting',
 'Flower collecting and pressing',
 'Streaming',
 'Airsoft',
 'Embroidery',
 'Jewelry making',
 'Laser tag',
 'DIY',
 'Astronomy',
 'Podcasting',
 'Comedy',
 'Sword swallowing',
 'Dog training',
 'Baton twirling',
 'Origami',
 'Fencing',
 'Improv',
 'Mahjong',
 'Boxing',
 'Musicals',
 'Geocaching',
 'Flying disc',
 'Lacrosse',
 'Karate',
 'Beatboxing',
 'Gaming',
 'Ghost hunting',
 'Whale watching',
 'Salsa',
 'Animation',
 'Weight lifting',
 'Singing',
 'Scrapbooking',
 'Blacksmithing',
 'Golf',
 'Skateboarding',
 'Farming',
 'Cheerleading',
 'Sewing',
 '3D printing',
 'Phillumeny',
 'BASE jumping',
 'Hooping',
 'Knitting',
 'Chess',
 'Swimming',
 'Darts',
 'Modelling',
 'Tennis',
 'Fire poi',
 'Photography',
 'Knife throwing',
 'Athletics',
 'Trains',
 'Magic',
 'Theatre',
 'Tai chi',
 'Skiing',
 'Reading',
 'Board games',
 'Netball',
 'Beekeeping',
 'Cooking',
 'Drama',
 'Archery',
 'Baking',
 'Gongoozling',
 'Cycling',
 'Competitive eating',
 'Speedcubing',
 'Ice skating',
 'Poetry',
 'Shooting',
 'Soapmaking',
 'Pottery',
 'Wrestling',
 'Tango',
 'Music',
 'Stand-up',
 'Escape rooms',
 'Perfume',
 'Jeet kun do',
 'Movies',
 'Surfing',
 'Horse riding',
 'Rugby',
 'Antiquing',
 'Sculpting',
 'Brewing',
 'Gardening',
 'Debate',
 'Moto GP',
 'Parkour',
 'Rock climbing',
 'Calligraphy',
 'Break dancing',
 'Creative writing',
 'Leather working',
 'Mycology',
 'Whittling',
 'Animal fancy',