Qualification,Rank
'Physics, MPhys',7
 'Mathematics and Statistics, MMathStat',8
 'Mathematics and Philosophy, BA',8
 'Law with Humanities, BA',5
 'Mathematics and Statistics, BSc',8
 'Discrete Mathematics, MEng',8
 'Mathematics and Physics, MMathPhys',7
 'Economic Studies and Global Sustainable Development, BA',5
 'Law and Sociology, BA',5
 'Civil Engineering, MEng',6
 'Mathematics, MMath',8
 'Computer Systems Engineering, MEng',8
 'Mathematics and Physics, BSc',8
 'Law, BA',5
 'Systems Engineering, BEng',10
 'Data Analytics, MSc',9
 'Data Science, BSc',9
 'Management, BSc',5
 'Electrical and Electronic Engineering (MEng)',6
 'Physics with Business Studies, BSc',5
 'Physics, BSc',6
 'Business Studies, BA',5
 'Mathematics, BSc',8
 'Chemistry, BSc',6
 'Electrical and Electronic Engineering (BEng)',
 'Law with Social Sciences, BA',5
 'Electronic Engineering, MEng',6
 'Engineering, MEng',6
 'Systems Engineering, MEng',6
 'Computer Science, MEng',8
 'Computer Science, BSc',8
 'Biochemistry, BSc',5
 'Philosophy, Politics and Economics, BA',5
 'Computer Systems Engineering, BSc',6
 'Law and Business Studies, BA',5
 'Computer Science, MSc',8
 'Philosophy with Psychology, BA',5
 'Economics, BA',5
 'Computer and Management Sciences, BSc',7
 'Discrete Mathematics, BSc',7
 'Biological Sciences, MBio',5
 'Statistics, BSc',7
 'Economics, Politics and International Studies, BA',5
 'Politics, Philosophy and Law, BA',5
 'MMORSE',7
 'Philosophy and Literature, BA',5
 'Biochemistry, MBio',5
 'Politics, BA',5
 'Biological Sciences, BSc',5
 'Electronic Engineering, BEng',6
 'Politics and Sociology, BA',5
 'Engineering Business Management, BA',6
 'Engineering, BEng',7
 'Chemistry, MChem',5
 'Civil Engineering, BSc',6
 'Economics and Industrial Organisation, BA',5