University,Rank
'Princeton University',10
'University of Illinois at Urbana-Champaign',8
'University of California',8
'Seoul National University',5
'Carnegie Mellon University',10
'Northwestern University',8
'University of Sheffield',5
'University of Liverpool',5
'University of Toronto',6
'Duke University',7
'Swiss Federal Institute of Technology Zurich',8
'Paris Sciences & Lettres – PSL University',8
'California Institute of Technology',10
'University of Edinburgh',7
'National University of Singapore',7
'University of Texas at Austin',7
'London School of Economics and Political Science',6
'Cornell University',8
'Tsinghua University',9
'The University of Tokyo',6
'University College London',6
'Kyoto University',5
'Queen’s University Belfast',5
'University of Southampton',5
'Queen Mary University of London',5
'University of York',5
'Johns Hopkins University',7
'University of Pennsylvania',8
'Columbia University',7
'University of Melbourne',6
'Peking University',9
'Lomonosov Moscow State University',7
'McGill University',7
'University of Michigan',7
'University of Oxford',9
'University of Hong Kong',7
'Pennsylvania State University',6
"King's College London",5
'Georgia Institute of Technology',7
'New York University',7
'University of Wisconsin-Madison\t',6
'University of Bristol',6
'University of British Columbia',5
'Yale University',9
'University of Birmingham',5
'University of Washington',7
'Cardiff University',5
'Imperial College London',9
'University of Manchester',7
'Newcastle University',7
'University of Cambridge',10
'Durham University',7
'University of Warwick',7
'University of Glasgow',7
'LMU Munich',6
'University of Leeds',6
'École Polytechnique Fédérale de Lausann',6
'Massachusetts Institute of Technology',10
'University of Nottingham',5
'University of Chicago',7
'University of Exeter',7
'Harvard University',10
'Stanford University\tUnited States',10